Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0402_1005Metric,115.55,-84.35,45.0,bottom
C2,100n,C_0402_1005Metric,97.37,-84.1,0.0,bottom
C3,10u,C_0402_1005Metric,101.9,-83.6,90.0,bottom
C4,100n,C_0402_1005Metric,107.034823,-82.0,90.0,bottom
C5,100n,C_0402_1005Metric,108.2,-82.0,90.0,bottom
C6,100n,C_0402_1005Metric,114.334823,-90.7,0.0,bottom
C7,100n,C_0402_1005Metric,106.3,-95.2,-90.0,bottom
C8,100n,C_0402_1005Metric,100.7,-95.268649,180.0,bottom
C9,100n,C_0402_1005Metric,100.7,-96.4,180.0,bottom
C10,100n,C_0402_1005Metric,96.334823,-90.3,180.0,bottom
C11,100n,C_0402_1005Metric,114.334823,-91.868649,0.0,bottom
C12,100n,C_0402_1005Metric,96.334823,-89.187399,180.0,bottom
C13,22p,C_0402_1005Metric,119.265159,-84.534822,135.0,bottom
C14,1u,C_0402_1005Metric,99.6,-94.022323,180.0,bottom
C15,1u,C_0402_1005Metric,99.6,-92.868649,180.0,bottom
C16,100n,C_0402_1005Metric,152.62,-87.1,0.0,bottom
C17,1u,C_0402_1005Metric,84.1,-88.87,90.0,bottom
C18,1u,C_0402_1005Metric,89.7,-89.82,90.0,bottom
C19,1u,C_0402_1005Metric,152.62,-88.3,0.0,bottom
C20,100n,C_0402_1005Metric,166.52,-87.1,0.0,bottom
C21,1u,C_0402_1005Metric,166.52,-88.3,0.0,bottom
D1,1N4148W,D_SOD-123,17.282323,-16.972323,90.0,bottom
D2,1N4148W,D_SOD-123,36.332323,-16.972323,90.0,bottom
D3,1N4148W,D_SOD-123,55.382323,-15.75,90.0,bottom
D4,1N4148W,D_SOD-123,74.432323,-16.972323,90.0,bottom
D5,1N4148W,D_SOD-123,93.482323,-16.972323,90.0,bottom
D6,1N4148W,D_SOD-123,112.532323,-15.75,90.0,bottom
D7,1N4148W,D_SOD-123,131.582323,-16.972323,90.0,bottom
D8,1N4148W,D_SOD-123,150.632323,-15.75,90.0,bottom
D9,1N4148W,D_SOD-123,169.682323,-16.972323,90.0,bottom
D10,1N4148W,D_SOD-123,188.732323,-16.972323,90.0,bottom
D11,1N4148W,D_SOD-123,207.782323,-16.972323,90.0,bottom
D12,1N4148W,D_SOD-123,226.832323,-16.972323,90.0,bottom
D13,1N4148W,D_SOD-123,253.0,-16.972323,90.0,bottom
D14,1N4148W,D_SOD-123,274.457323,-16.972323,90.0,bottom
